file,bandwidth_MiB_s,iops,avg_cpu_percent
smallfile_1_job,3985.9560546875,791.973601,32.392793
smallfile_1_job_5g,3982.8896484375,788.72723,32.640578
smallfile_2_jobs,4044.9912109375,805.447341,20.572566000000002
smallfile_2_jobs_5g,4036.2353515625,800.156453,20.554603
smallfile_3_jobs,4056.3076171875,807.695507,19.273133
smallfile_3_jobs_5g,4039.2568359375,800.372669,19.120322
smallfile_4_jobs,4086.65234375,815.471046,18.506189
smallfile_4_jobs_5g,4076.111328125,809.220589,18.712118
