file,bandwidth_MiB_s,iops,avg_cpu_percent
smallfile_1_job,838.3837890625,165.24245,17.650586
smallfile_1_job_5g,743.890625,146.186264,26.674107
smallfile_2_jobs,902.3798828125,178.483985,7.1618949999999995
smallfile_2_jobs_5g,895.484375,177.238806,7.116382
smallfile_3_jobs,896.3525390625,176.667499,5.185078000000001
smallfile_3_jobs_5g,898.26953125,176.682212,5.1465
smallfile_4_jobs,897.5830078125,178.370365,3.9300690000000005
smallfile_4_jobs_5g,898.3896484375,178.444171,3.9904740000000003
